Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity
LADY GAGA,LADY GAGA,Peso Pluma,2023-06-22,QM7282306246,212,105.2,684204777,48370,25130304,78.0
Woman,Planet Her,Doja Cat,2021-06-25,USRC12101532,211,105.2,1606950381,217443,95985096,78.0
CUFF IT,RENAISSANCE,Beyoncï¿,2022-07-29,USSM12206232,213,104.9,795960535,100204,68659216,73.0
KING KONG,KING KONG,TREASURE,2024-05-28,KRA402400030,214,104.5,8078265,207,12311489,68.0
How You Like That,How You Like That,BLACKPINK,2020-06-25,KRA402000111,215,104.5,1033109188,82170,21177170,68.0
Milf Song,Milf Song,The Puddleducks,2022-08-19,QZMEP2285895,216,104.5,1165982,1176,23110,28.0
Panda,Panda,Desiigner,2016-02-26,USUM71601094,219,104.2,1181348550,170002,34000497,62.0
Tattoo,Tattoo,Loreen,2023-02-25,SEUM72201638,221,103.9,518846340,83033,48268736,77.0
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,2023-03-17,USUG12301757,223,103.3,102772879,29487,4775168,61.0
Used To Be Young,Endless Summer Vacation,Miley Cyrus,2023-08-18,USSM12306461,227,102.4,205468104,30639,39407660,69.0
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2023-02-24,KSA012239181,229,102.3,861388470,103040,37365896,48.0
How Sweet,How Sweet,NewJeans,2024-05-24,USA2P2414843,228,102.3,33595707,1940,36883184,79.0
Players,Players,Coi Leray,2022-11-30,USUM72222387,230,101.8,465588517,91658,60607887,67.0
rockstar (feat. 21 Savage),rockstar,Post Malone,2017-09-15,USUM71710087,231,101.8,2960046642,352745,82442565,77.0
Con Calma,Con Calma,Daddy Yankee,2019-01-24,US2BU1900125,236,101.4,1353028938,160122,52701166,73.0
Here With Me,Here With Me,d4vd,2022-07-20,QZMEM2209263,234,101.4,1042311849,154178,58833842,80.0
Favorite Song,Favorite Song,Toosii,2023-02-17,USUM72301797,235,101.4,186579651,45668,6252506,62.0
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,2021-03-26,USSM12100531,238,100.8,1902241314,316054,50751390,70.0
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,2022-09-22,TCAGM2208561,241,100.1,665716137,97057,33252792,80.0
Watermelon Sugar,Watermelon Sugar,Harry Styles,2019-11-17,USSM11912587,243,99.7,2708151499,298135,159003869,82.0
Corazï¿½ï¿½n de Pi,Corazï¿½ï¿½n de Piedra - Si,Xavi,2024-03-23,USA2P2414894,244,98.8,172164034,5517,48983734,82.0
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,2023-12-27,CH7811111177,245,98.5,298853393,50137,43508958,70.0
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,2023-05-18,QM6P42334528,246,98.4,717849037,98440,37797217,72.0
Yandel 150,Yandel 150,Yandel,2022-12-20,QMFMF2215173,247,98.1,837576264,102545,38825844,70.0
THATS WHAT I WANT,MONTERO,Lil Nas X,2021-09-17,USSM12105732,248,98.0,1062095453,165197,75503476,72.0
Todo De Ti,Todo De Ti,Rauw Alejandro,2021-05-20,USSD12100202,249,98.0,1339352060,188874,76063128,75.0
Chemical,Chemical,Post Malone,2023-04-14,USUM72305205,250,97.6,503574147,79679,43648353,75.0
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,2011-11-20,GBARL1401524,254,97.1,1993030264,256764,149909699,77.0
love nwantiti (ah ah ah),CKay The First,CKay,2019-08-30,QMEU31910213,256,96.9,853451422,172458,43607688,71.0
Mi Gente,Mi Gente,J Balvin,2017-06-30,FR22F1701790,257,96.4,1478442472,189504,45240294,69.0
Late Night Talking,Harry's House,Harry Styles,2022-05-20,USSM12200610,258,96.4,959639297,108806,62563751,76.0
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,2020-10-20,AEA0D2036458,259,96.2,2300838,543,19016,35.0
Starboy,Starboy,The Weeknd,2016-09-22,USUG11600976,265,95.7,3291262413,366133,98022646,84.0
Sorry,Sorry,Justin Bieber,2015-10-23,USUM71516760,264,95.7,2089476497,179545,89286647,78.0
Pink Venom,Pink Venom,BLACKPINK,2022-08-19,KRA402200017,266,95.6,736469450,48251,22817940,68.0
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401040,267,95.0,250430303,7079,134357870,84.0
MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,2023-07-27,USSM12305021,270,94.3,347647880,106908,29964622,74.0
Something Just Like This,Something Just Like This,The Chainsmokers,2017-02-22,USQX91700278,273,94.0,2596644721,278237,128709855,82.0
7 rings,7 rings,Ariana Grande,2019-01-18,USUM71900110,274,93.9,2262490403,179865,89518199,77.0
Moonlight,Moonlight,Kali Uchis,2023-02-24,USUM72219486,275,93.1,701558859,110539,46729655,74.0
God's Plan,Diplomatic Immunity,Drake,2018-01-20,USCM51800004,278,92.9,2529948475,313741,79266167,77.0
Sunroof,Sunroof,Nicky Youre,2021-11-26,QM24S2107064,279,92.3,879708559,44652,23104189,12.0
La Vï¿½ï¿½c,La Vï¿½ï¿½c,Xavi,2023-08-19,USA2P2339944,280,92.0,521116293,24734,22828160,81.0
MY EYES,UTOPIA,Travis Scott,2023-07-28,USSM12305007,281,91.9,403132906,103255,13549357,78.0
WORK,GOLDEN HOUR : Part.1,ATEEZ,2024-05-31,KRD442400011,282,91.7,10135326,678,14542753,31.0
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,2017-04-17,USUM71703825,284,91.5,1713294983,134700,39604784,65.0
Ghost,Justice,Justin Bieber,2021-03-19,USUM72102635,283,91.5,1586830204,151923,73574395,80.0
Dior,Meet The Woo,Pop Smoke,2019-07-26,USUM71914275,285,91.4,1070422470,294539,47391658,72.0
New Baby Shark,Pinkfong & Baby Shark's Space Adventure Songs,Pinkfong,2022-09-30,QMDA62210237,286,91.2,720822868,13,164,17.0
Una Noche en Medellï¿½,Una Noche en Medellï¿½,Cris Mj,2022-01-21,QM4TW2218961,288,90.7,839405565,107431,27444811,75.0
Primera Cita,La Primera Cita - Single,Carin Leon,2023-04-20,QZQMB2104890,290,90.5,598006591,35842,34735524,80.0
Slow It Down,Slow It Down,Benson Boone,2024-03-22,USWB12400913,294,89.4,202667139,11945,116623933,85.0
Heathens,Heathens,Twenty One Pilots,2016-06-16,USAT21601930,296,88.6,1777196966,241108,65091468,78.0
Whoopty,Whoopty,CJ,2020-08-20,USA2P2031043,297,88.6,775664145,213464,28998615,61.0
Happier,Happier - Single,Marshmello,2018-08-16,USUG11801651,299,87.9,2143821605,220298,53040597,16.0
HARLEY QUINN,HARLEY QUINN - Single,Fuerza Regida,2023-10-18,QZ9QQ2300781,301,87.7,462284590,31617,36745154,84.0
Butter,Butter,BTS,2021-05-21,QM6MZ2156864,302,87.5,1257974135,90160,40533320,70.0
Ransom,Ransom,Lil Tecca,2019-05-22,QZ85M1940160,307,86.8,1355971796,198992,52412236,77.0
Romantic Homicide,Romantic Homicide,d4vd,2022-07-20,QZMEM2232831,308,86.8,1136504636,152157,60605828,81.0
Pink Skies,Pink Skies,Zach Bryan,2024-05-24,USWB12401947,309,86.7,60240739,4611,98570633,84.0
Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,GBAHS1600363,310,86.6,1528107667,170648,55710071,73.0
BESO,RR,ROSALï¿½,2023-03-24,USSM12301258,313,86.3,647201484,81393,46208549,74.0
Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,2022-10-17,USAT22219211,318,85.8,665519026,152193,67322941,68.0
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,2017-08-25,USUYG1156898,319,85.6,1615274494,203617,35375009,79.0
Do It To It,Do It To It,ACRAZE,2021-08-20,QZFPL2100100,324,85.2,805019111,238887,94531613,73.0
Austin,Austin - Single,Dasha,2023-11-17,QZTB92360479,327,84.6,273023490,17900,169190514,87.0
TULUM,TULUM,Peso Pluma,2023-06-28,QM7282325573,328,84.6,390182196,36912,13688250,74.0
Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,2020-10-14,USA2P2036916,332,84.1,90383224,24868,4716437,45.0
Taste (feat. Offset),Taste (feat. Offset),Tyga,2018-05-16,USUYG1198481,338,83.1,1358105253,217189,31143734,69.0
Banana (feat. Shaggy),Banana (feat. Shaggy),Conkarah,2019-08-16,QMRSZ1901446,341,82.7,27747363,9067,1365840,41.0
Quï¿½ï¿½ Ago,Pa' Luego Es Tarde,Yuridia,2022-10-20,MXF012200200,343,82.5,394381902,22919,12262540,73.0
500lbs,500lbs,Lil Tecca,2023-07-21,USUM72309854,349,82.1,350584176,79228,26972646,68.0
BILLIE EILISH.,BILLIE EILISH.,Armani White,2022-05-19,SGB502248062,350,82.0,359416593,91114,29730236,64.0
Lï¿½ï¿½ï¿½AMOUR DE ,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401990,352,81.6,84575291,5186,51449432,85.0
CONTIGO (with Tiï¿½ï¿½,CONTIGO (with Tiï¿½ï¿½,KAROL G,2024-02-15,USUG12400966,357,81.0,162165853,10306,87901542,85.0
WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401993,359,80.8,100838516,5188,50795354,87.0
Doja,Doja,Central Cee,2022-07-21,ZZOPM2237319,360,80.5,676519766,192241,57503569,74.0
Sweet but Psycho,Sweet but Psycho,Ava Max,2018-08-17,USAT21802011,365,80.1,1668741024,174052,42966784,76.0
Ferrari,Ferrari,James Hype,2022-03-15,GB3CE2200004,366,80.1,626010147,185422,78359363,74.0
positions,positions,Ariana Grande,2020-10-23,USUM72019412,368,80.0,1432830108,139215,53934095,74.0
Where Are You Now,Where Are You Now,Lost Frequencies,2021-07-30,BEHP42100067,370,79.9,1223329465,211823,114773091,74.0
Save Your Tears,After Hours,The Weeknd,2020-03-20,USUG12000658,371,79.9,1995511952,304456,63126296,80.0
Happier Than Ever,Happier Than Ever,Billie Eilish,2021-07-30,USUM72105936,372,79.9,1321878145,189487,51228803,78.0
This Is What You Came For,This Is What You Came For,Calvin Harris,2016-04-29,GBARL1600460,373,79.8,1746790923,204049,117171040,79.0
China,China,Anuel AA,2019-07-19,QM6P41952433,376,79.5,1178076574,137559,58323638,68.0
Moonlight,?,XXXTENTACION,2018-03-16,USUG11800209,375,79.5,1885431727,241112,41330643,77.0
Smart,EASY,LE SSERAFIM,2024-02-19,USA2P2402103,379,79.3,159256689,6829,20291074,74.0
That's What I Like,24K Magic,Bruno Mars,2016-11-17,USAT21602948,378,79.3,2075459887,209632,84707015,80.0
The Business,The Business,Tiï¿½ï¿,2020-09-16,CYA112000624,381,78.3,1191635193,255697,78272032,70.0
Ride It,Ride It,Regard,2019-07-26,GBCEN1900047,382,78.2,1349427877,220002,106549747,76.0
Mwaki,SURRENDER,Zerb,2023-09-27,NLRD52339318,383,77.9,121234000,36468,76765385,42.0
BICHOTA,BICHOTA,KAROL G,2020-10-23,USUM72019324,385,77.8,868091483,86379,31261057,64.0
Renklensin,Renklensin - Single,Reynmen,2024-04-19,FRX282477628,384,77.8,54940563,2630,6589111,75.0
The Hills,The Hills,The Weeknd,2015-05-27,USUG11500737,388,77.5,2306740926,333310,91689799,80.0
Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),Jung Kook,2023-07-14,USA2P2330092,389,77.4,1673557134,15863,14237841,72.0
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401995,390,77.3,77212437,4083,13850203,84.0
Te Felicito,Te Felicito,Shakira,2022-04-21,USQX92201764,392,77.0,719593291,74269,37254627,67.0
Que Onda,Que Onda - Single,Calle 24,2023-08-30,USDXS2303230,393,76.9,642548537,36781,21579429,81.0
STAR WALKIN' (League of Legends Worlds Anthem),STAR WALKIN' (League of Legends Worlds Anthem) - Single,Lil Nas X,2022-09-22,USSM12208809,396,76.6,428164381,80340,18339674,68.0
Sugar,V (Deluxe),Maroon 5,2014-08-29,USUM71410340,399,76.6,1838092894,186038,69903249,75.0
"Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version]","Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version] - Single",Abd El Fattah Grini,2023-01-14,INY092300003,402,76.2,1993244,245,79264,28.0
Oublie-moi,Oublie-moi,Emkal,2022-09-16,FRDDV2200780,405,76.0,17992999,11288,327900,42.0
MAESTRO,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,2024-04-29,USA2P2415975,407,75.7,35244286,1629,14912783,75.0
NUEVA VIDA,Gï¿½ï¿½N,Peso Pluma,2023-06-22,QM7282306253,408,75.6,253464894,22779,10733622,76.0
you broke me first,you broke me first,Tate McRae,2020-04-17,USRC12000832,409,75.6,1439465700,169076,47204234,77.0
Relationship (feat. Future),Beautiful Thugger Girls,Young Thug,2017-06-16,USAT21701747,410,75.5,458957128,89812,13215590,61.0
Hawï¿½,Hawï¿½,Maluma,2020-07-29,USSD12000190,415,75.3,1289186767,123303,48973048,73.0
LA FALDA,LA FALDA - Single,Myke Towers,2023-11-22,USWL12302952,416,75.3,367399860,29235,106808249,82.0
Life Goes On,"Ugly is Beautiful: Shorter, Thicker & Uglier (Deluxe)",Oliver Tree,2020-07-17,USAT22007153,424,74.8,568230113,142225,16247309,68.0
BATTER UP,BABYMONSTER Debut Digital Single [BATTER UP],BABYMONSTER,2023-11-27,KRA402300048,426,74.5,121497542,6748,14377499,80.0
SI NO ES CONTIGO,SI NO ES CONTIGO,Cris Mj,2024-05-23,QM6N22466972,427,74.5,45287928,2099,98932469,81.0
DDU-DU DDU-DU,SQUARE UP,BLACKPINK,2018-06-15,KRA401800096,434,74.0,701726499,51129,14859569,65.0
telepatï¿½,Sin Miedo (del Amor y Otros Demonios) ï¿½,Kali Uchis,2020-11-18,GBUM72005748,435,73.9,1151629030,201783,55679157,77.0
